FID,Field1,lon,lat,Island
0,1,-90.909999999999997,-0.950000000000000,0.000000000000000
5,6,-91.319999999999993,-0.220000000000000,0.000000000000000
6,7,-91.120000000000005,-0.510000000000000,0.000000000000000
9,10,-91.349999999999994,-0.210000000000000,0.000000000000000
10,11,-90.859999999999999,-0.720000000000000,0.000000000000000
11,12,-90.819999999999993,-0.920000000000000,0.000000000000000
12,13,-90.829999999999998,-0.990000000000000,0.000000000000000
13,14,-90.849999999999994,-0.970000000000000,0.000000000000000
14,15,-91.200000000000003,-0.870000000000000,0.000000000000000
15,16,-90.930000000000007,-0.970000000000000,0.000000000000000
16,17,-91.459999999999994,-0.140000000000000,0.000000000000000
17,18,-91.530000000000001,-0.030000000000000,0.000000000000000
18,19,-91.150000000000006,-1.090000000000000,0.000000000000000
19,20,-91.010000000000005,-0.850000000000000,0.000000000000000
21,22,-91.400000000000006,-0.160000000000000,0.000000000000000
22,23,-91.500000000000000,-0.100000000000000,0.000000000000000
23,24,-91.590000000000003,-0.120000000000000,0.000000000000000
24,25,-91.260000000000005,-0.630000000000000,0.000000000000000
25,26,-91.079999999999998,-0.670000000000000,0.000000000000000
26,27,-91.060000000000002,-0.680000000000000,0.000000000000000
27,28,-91.150000000000006,-0.770000000000000,0.000000000000000
30,31,-91.290000000000006,-1.140000000000000,0.000000000000000
32,33,-91.040000000000006,-1.170000000000000,0.000000000000000
33,34,-91.010000000000005,-0.380000000000000,0.000000000000000
37,38,-90.849999999999994,-1.000000000000000,0.000000000000000
38,39,-90.840000000000003,-0.960000000000000,0.000000000000000
39,40,-90.939999999999998,-0.870000000000000,0.000000000000000
42,43,-90.859999999999999,-0.940000000000000,0.000000000000000
44,45,-91.340000000000003,-0.640000000000000,0.000000000000000
45,46,-91.329999999999998,-0.240000000000000,0.000000000000000
46,47,-90.959999999999994,-0.970000000000000,0.000000000000000
47,48,-91.430000000000007,-0.790000000000000,0.000000000000000
50,51,-91.069999999999993,-1.060000000000000,0.000000000000000
53,54,-91.180000000000007,-0.430000000000000,0.000000000000000
54,55,-90.849999999999994,-0.950000000000000,0.000000000000000
56,57,-90.849999999999994,-0.900000000000000,0.000000000000000
57,58,-90.969999999999999,-0.940000000000000,0.000000000000000
58,59,-90.980000000000004,-0.910000000000000,0.000000000000000
59,60,-90.840000000000003,-0.950000000000000,0.000000000000000
61,62,-91.260000000000005,-0.770000000000000,0.000000000000000
62,63,-91.150000000000006,-1.000000000000000,0.000000000000000
63,64,-91.030000000000001,-0.660000000000000,0.000000000000000
66,67,-91.260000000000005,-0.150000000000000,0.000000000000000
67,68,-90.920000000000002,-0.810000000000000,0.000000000000000
70,71,-90.920000000000002,-0.800000000000000,0.000000000000000
71,72,-91.489999999999995,-0.090000000000000,0.000000000000000
72,73,-90.829999999999998,-0.970000000000000,0.000000000000000
73,74,-91.230000000000004,-0.220000000000000,0.000000000000000
