FID,Field1,lon,lat
2886,2680,-71.299999999999997,-29.930000000000000
2887,3093,-71.349999999999994,-29.969999999999999
2890,2502,-71.459999999999994,-32.579999999999998
2892,1766,-71.519999999999996,-32.780000000000001
2893,3090,-71.519999999999996,-32.770000000000003
2894,1741,-71.530000000000001,-32.770000000000003
2895,3092,-71.569999999999993,-32.759999999999998
2896,519,-71.569999999999993,-29.039999999999999
2897,1725,-71.579999999999998,-32.770000000000003
2898,3103,-71.609999999999999,-33.030000000000001
2899,1777,-71.620000000000005,-33.039999999999999
2900,3091,-71.620000000000005,-32.759999999999998
2901,2398,-71.629999999999995,-33.039999999999999
2902,1135,-71.629999999999995,-33.020000000000003
2903,1817,-71.629999999999995,-30.250000000000000
2904,2287,-71.650000000000006,-33.340000000000003
2905,1743,-71.680000000000007,-33.030000000000001
2908,2683,-71.780000000000001,-32.969999999999999
2911,1179,-71.849999999999994,-33.939999999999998
2912,1731,-71.950000000000003,-33.000000000000000
2939,3214,-72.450000000000003,-42.009999999999998
2941,2172,-72.459999999999994,-41.969999999999999
2943,1860,-72.469999999999999,-41.969999999999999
2945,1682,-72.480000000000004,-42.210000000000001
2946,2110,-72.480000000000004,-41.969999999999999
2947,2218,-72.489999999999995,-41.969999999999999
2950,3219,-72.500000000000000,-42.579999999999998
2953,2523,-72.540000000000006,-42.049999999999997
2955,2932,-72.560000000000002,-44.509999999999998
2956,3008,-72.569999999999993,-44.500000000000000
2957,3005,-72.569999999999993,-44.329999999999998
2958,2800,-72.569999999999993,-42.549999999999997
2959,3006,-72.599999999999994,-44.380000000000003
2960,2519,-72.599999999999994,-42.560000000000002
2961,1215,-72.609999999999999,-42.549999999999997
2962,2852,-72.620000000000005,-42.549999999999997
2963,2877,-72.640000000000001,-42.090000000000003
2964,2721,-72.640000000000001,-41.689999999999998
2965,33,-72.650000000000006,-41.719999999999999
2966,1243,-72.650000000000006,-41.710000000000001
2967,1963,-72.659999999999997,-42.479999999999997
2968,2219,-72.670000000000002,-44.560000000000002
2969,2985,-72.680000000000007,-44.729999999999997
2970,2590,-72.689999999999998,-44.729999999999997
2971,1225,-72.689999999999998,-44.630000000000003
2972,1386,-72.689999999999998,-42.149999999999999
2973,1852,-72.689999999999998,-41.719999999999999
2975,1249,-72.700000000000003,-44.700000000000003
2976,2522,-72.700000000000003,-42.170000000000002
2977,2878,-72.700000000000003,-42.159999999999997
2978,1849,-72.700000000000003,-41.590000000000003
2979,2365,-72.709999999999994,-42.149999999999999
2980,2293,-72.709999999999994,-42.130000000000003
2981,1717,-72.719999999999999,-44.740000000000002
2982,1366,-72.719999999999999,-44.670000000000002
2983,1242,-72.719999999999999,-44.659999999999997
2984,2506,-72.719999999999999,-42.920000000000002
2985,1771,-72.719999999999999,-42.909999999999997
2986,1851,-72.719999999999999,-42.399999999999999
2987,2977,-72.719999999999999,-41.579999999999998
2988,1365,-72.730000000000004,-42.479999999999997
2989,2265,-72.730000000000004,-42.439999999999998
2990,2919,-72.739999999999995,-44.630000000000003
2991,2520,-72.739999999999995,-42.430000000000000
2992,1977,-72.760000000000005,-42.899999999999999
2993,1857,-72.760000000000005,-42.460000000000001
2994,1385,-72.780000000000001,-42.359999999999999
2995,2089,-72.790000000000006,-42.320000000000000
2996,2857,-72.799999999999997,-41.939999999999998
2997,2512,-72.810000000000002,-42.689999999999998
2998,1163,-72.810000000000002,-36.100000000000001
2999,2216,-72.819999999999993,-45.460000000000001
3000,3218,-72.819999999999993,-45.439999999999998
3001,1823,-72.819999999999993,-42.850000000000001
3002,2342,-72.819999999999993,-42.430000000000000
3003,2088,-72.819999999999993,-42.340000000000003
3004,1537,-72.819999999999993,-41.640000000000001
3005,3215,-72.829999999999998,-42.829999999999998
3006,2621,-72.829999999999998,-42.329999999999998
3007,2264,-72.829999999999998,-42.250000000000000
3008,2086,-72.840000000000003,-42.859999999999999
3009,2511,-72.840000000000003,-42.740000000000002
3010,2619,-72.840000000000003,-42.439999999999998
3011,2427,-72.840000000000003,-42.200000000000003
3012,1838,-72.840000000000003,-41.630000000000003
3013,1253,-72.840000000000003,-41.500000000000000
3014,2674,-72.849999999999994,-42.869999999999997
3015,2208,-72.849999999999994,-42.840000000000003
3016,2062,-72.849999999999994,-42.380000000000003
3017,2858,-72.849999999999994,-41.899999999999999
3018,2917,-72.859999999999999,-44.409999999999997
3019,2521,-72.859999999999999,-42.299999999999997
3020,2672,-72.859999999999999,-41.509999999999998
3021,1707,-72.859999999999999,-41.500000000000000
3022,1178,-72.870000000000005,-42.890000000000001
3023,2618,-72.870000000000005,-42.770000000000003
3024,2087,-72.870000000000005,-42.420000000000002
3025,2209,-72.870000000000005,-42.090000000000003
3026,2091,-72.870000000000005,-41.840000000000003
3027,2115,-72.870000000000005,-41.829999999999998
3028,2092,-72.870000000000005,-41.770000000000003
3029,1824,-72.879999999999995,-42.700000000000003
3030,2620,-72.879999999999995,-42.170000000000002
3031,2080,-72.879999999999995,-41.570000000000000
3032,2617,-72.890000000000001,-42.609999999999999
3033,1680,-72.890000000000001,-41.880000000000003
3034,2308,-72.890000000000001,-41.500000000000000
3035,2654,-72.890000000000001,-41.490000000000002
3036,2717,-72.900000000000006,-42.600000000000001
3037,2622,-72.900000000000006,-41.990000000000002
3038,3330,-72.900000000000006,-41.600000000000001
3039,1709,-72.900000000000006,-41.490000000000002
3040,2279,-72.909999999999997,-44.810000000000002
3041,2090,-72.909999999999997,-42.079999999999998
3042,3290,-72.909999999999997,-41.789999999999999
3043,2108,-72.909999999999997,-41.770000000000003
3044,2178,-72.909999999999997,-41.700000000000003
3045,3069,-72.909999999999997,-41.490000000000002
3046,1646,-72.920000000000002,-43.609999999999999
3047,2516,-72.920000000000002,-41.530000000000001
3048,1744,-72.930000000000007,-44.789999999999999
3049,2396,-72.930000000000007,-43.789999999999999
3050,1175,-72.930000000000007,-42.630000000000003
3051,1214,-72.930000000000007,-41.549999999999997
3052,3283,-72.930000000000007,-41.520000000000003
3053,3237,-72.930000000000007,-41.490000000000002
3054,3096,-72.930000000000007,-41.469999999999999
3055,2514,-72.939999999999998,-42.640000000000001
3056,2515,-72.939999999999998,-42.630000000000003
3057,2950,-72.939999999999998,-41.479999999999997
3058,2052,-72.939999999999998,-41.469999999999999
3060,2395,-72.950000000000003,-43.780000000000001
3061,2910,-72.950000000000003,-43.770000000000003
3062,1352,-72.950000000000003,-43.759999999999998
3063,2181,-72.950000000000003,-41.700000000000003
3064,2566,-72.950000000000003,-41.479999999999997
3065,3007,-72.959999999999994,-43.759999999999998
3066,2975,-72.959999999999994,-41.490000000000002
3069,1837,-72.969999999999999,-41.869999999999997
3070,2180,-72.969999999999999,-41.729999999999997
3071,1793,-72.969999999999999,-41.500000000000000
3073,1647,-72.980000000000004,-43.780000000000001
3074,2182,-72.980000000000004,-41.649999999999999
3075,2915,-72.989999999999995,-43.649999999999999
3076,3017,-72.989999999999995,-41.570000000000000
3077,2074,-73.000000000000000,-41.539999999999999
3078,2914,-73.010000000000005,-43.649999999999999
3079,2176,-73.010000000000005,-41.539999999999999
3080,2943,-73.019999999999996,-45.399999999999999
3081,1629,-73.019999999999996,-42.600000000000001
3083,2049,-73.030000000000001,-44.789999999999999
3084,2916,-73.030000000000001,-43.759999999999998
3085,2911,-73.030000000000001,-43.750000000000000
3086,2913,-73.030000000000001,-43.700000000000003
3087,1660,-73.030000000000001,-41.619999999999997
3088,2327,-73.030000000000001,-41.509999999999998
3089,188,-73.040000000000006,-43.770000000000003
3090,2912,-73.040000000000006,-43.710000000000001
3091,1901,-73.049999999999997,-43.780000000000001
3092,2179,-73.060000000000002,-41.649999999999999
3093,1650,-73.079999999999998,-42.710000000000001
3094,1714,-73.079999999999998,-41.579999999999998
3095,2340,-73.079999999999998,-36.729999999999997
3096,2273,-73.090000000000003,-45.350000000000001
3097,1645,-73.090000000000003,-43.939999999999998
3098,2171,-73.090000000000003,-41.770000000000003
3099,3095,-73.090000000000003,-41.729999999999997
3100,2344,-73.090000000000003,-36.729999999999997
3101,2547,-73.099999999999994,-43.960000000000001
3102,1618,-73.099999999999994,-42.680000000000000
3103,2896,-73.120000000000005,-41.770000000000003
3104,2505,-73.140000000000001,-43.039999999999999
3105,3226,-73.140000000000001,-41.799999999999997
3106,1855,-73.159999999999997,-41.810000000000002
3107,2723,-73.170000000000002,-36.770000000000003
3108,2724,-73.180000000000007,-36.780000000000001
3109,2675,-73.189999999999998,-44.250000000000000
3110,2925,-73.189999999999998,-41.789999999999999
3111,2686,-73.189999999999998,-36.770000000000003
3112,1850,-73.189999999999998,-36.750000000000000
3113,2278,-73.209999999999994,-36.780000000000001
3114,2139,-73.209999999999994,-36.770000000000003
3115,2333,-73.230000000000004,-42.850000000000001
3116,2786,-73.230000000000004,-36.789999999999999
3117,2508,-73.239999999999995,-41.799999999999997
3118,1354,-73.239999999999995,-41.770000000000003
3119,1355,-73.250000000000000,-41.759999999999998
3120,2455,-73.250000000000000,-39.170000000000002
3121,3107,-73.260000000000005,-45.250000000000000
3122,2922,-73.260000000000005,-44.259999999999998
3123,1651,-73.260000000000005,-39.460000000000001
3124,214,-73.260000000000005,-39.450000000000003
3125,2920,-73.269999999999996,-44.229999999999997
3126,3196,-73.269999999999996,-42.310000000000002
3127,190,-73.269999999999996,-39.450000000000003
3128,1353,-73.290000000000006,-41.810000000000002
3129,1649,-73.299999999999997,-42.609999999999999
3130,2592,-73.329999999999998,-44.810000000000002
3131,2332,-73.329999999999998,-43.060000000000002
3132,3230,-73.329999999999998,-41.840000000000003
3133,2869,-73.349999999999994,-45.359999999999999
3134,3231,-73.349999999999994,-41.829999999999998
3135,2170,-73.349999999999994,-41.810000000000002
3136,3181,-73.349999999999994,-36.609999999999999
3137,1844,-73.359999999999999,-42.680000000000000
3138,2924,-73.359999999999999,-41.789999999999999
3139,3109,-73.359999999999999,-37.109999999999999
3140,2421,-73.379999999999995,-44.229999999999997
3141,1826,-73.390000000000001,-42.960000000000001
3142,3067,-73.390000000000001,-42.140000000000001
3143,2351,-73.390000000000001,-39.740000000000002
3144,2373,-73.400000000000006,-43.350000000000001
3145,2362,-73.400000000000006,-42.469999999999999
3146,1256,-73.400000000000006,-39.880000000000003
3147,1652,-73.400000000000006,-39.869999999999997
3148,3210,-73.400000000000006,-39.850000000000001
3149,2348,-73.400000000000006,-39.729999999999997
3150,1239,-73.400000000000006,-39.719999999999999
3151,1504,-73.409999999999997,-39.890000000000001
3152,1815,-73.409999999999997,-39.719999999999999
3153,1841,-73.420000000000002,-45.359999999999999
3154,2907,-73.430000000000007,-42.930000000000000
3155,3089,-73.430000000000007,-42.920000000000002
3156,2271,-73.430000000000007,-42.539999999999999
3157,2274,-73.439999999999998,-45.189999999999998
3158,2355,-73.469999999999999,-43.850000000000001
3159,3125,-73.469999999999999,-43.840000000000003
3160,2979,-73.469999999999999,-43.469999999999999
3161,1825,-73.469999999999999,-41.799999999999997
3162,1627,-73.480000000000004,-42.899999999999999
3163,518,-73.480000000000004,-42.710000000000001
3164,2921,-73.480000000000004,-42.159999999999997
3165,3255,-73.480000000000004,-41.810000000000002
3166,598,-73.480000000000004,-41.799999999999997
3167,2716,-73.489999999999995,-42.920000000000002
3168,2974,-73.489999999999995,-41.890000000000001
3169,1657,-73.489999999999995,-41.820000000000000
3170,34,-73.489999999999995,-41.810000000000002
3171,2539,-73.500000000000000,-42.890000000000001
3172,1999,-73.500000000000000,-41.820000000000000
3173,2184,-73.500000000000000,-41.810000000000002
3174,3286,-73.510000000000005,-44.770000000000003
3175,1250,-73.510000000000005,-43.479999999999997
3176,1190,-73.510000000000005,-41.820000000000000
3177,2953,-73.510000000000005,-37.030000000000001
3178,1262,-73.519999999999996,-45.149999999999999
3179,1832,-73.519999999999996,-42.899999999999999
3180,2157,-73.519999999999996,-41.829999999999998
3181,360,-73.519999999999996,-41.780000000000001
3182,2361,-73.530000000000001,-45.219999999999999
3183,2345,-73.530000000000001,-39.920000000000002
3184,1853,-73.530000000000001,-39.840000000000003
3185,2718,-73.540000000000006,-45.619999999999997
3186,2457,-73.540000000000006,-44.890000000000001
3187,2725,-73.560000000000002,-42.520000000000003
3188,1985,-73.569999999999993,-43.140000000000001
3189,1202,-73.569999999999993,-37.149999999999999
3190,3078,-73.579999999999998,-43.990000000000002
3191,599,-73.579999999999998,-42.909999999999997
3192,2203,-73.579999999999998,-41.609999999999999
3194,2226,-73.590000000000003,-43.560000000000002
3195,3001,-73.590000000000003,-43.119999999999997
3196,498,-73.590000000000003,-42.920000000000002
3197,306,-73.590000000000003,-42.909999999999997
3198,1839,-73.590000000000003,-41.619999999999997
3199,2967,-73.599999999999994,-42.530000000000001
3200,2626,-73.599999999999994,-41.609999999999999
3201,3259,-73.609999999999999,-43.049999999999997
3202,81,-73.609999999999999,-42.710000000000001
3203,3190,-73.609999999999999,-41.820000000000000
3204,1227,-73.620000000000005,-45.140000000000001
3205,2272,-73.620000000000005,-42.469999999999999
3206,3279,-73.620000000000005,-41.829999999999998
3207,3048,-73.620000000000005,-39.960000000000001
3208,3331,-73.620000000000005,-39.950000000000003
3209,2096,-73.629999999999995,-44.180000000000000
3210,1659,-73.629999999999995,-43.119999999999997
3211,3294,-73.629999999999995,-42.509999999999998
3212,2995,-73.629999999999995,-41.829999999999998
3213,3209,-73.629999999999995,-41.820000000000000
3214,2079,-73.629999999999995,-41.600000000000001
3215,1238,-73.640000000000001,-44.479999999999997
3216,2756,-73.640000000000001,-41.810000000000002
3217,509,-73.640000000000001,-39.960000000000001
3218,2987,-73.650000000000006,-43.219999999999999
3219,1644,-73.659999999999997,-45.299999999999997
3220,2346,-73.659999999999997,-45.210000000000001
3221,2930,-73.659999999999997,-42.460000000000001
3222,2898,-73.659999999999997,-42.390000000000001
3223,2614,-73.659999999999997,-41.590000000000003
3224,3000,-73.670000000000002,-43.250000000000000
3225,2936,-73.670000000000002,-41.590000000000003
3226,3205,-73.680000000000007,-42.469999999999999
3227,2610,-73.680000000000007,-41.579999999999998
3228,1997,-73.689999999999998,-41.810000000000002
3230,2593,-73.709999999999994,-41.829999999999998
3232,2260,-73.719999999999999,-43.899999999999999
3233,2173,-73.719999999999999,-40.549999999999997
3234,1349,-73.719999999999999,-40.539999999999999
3235,2581,-73.730000000000004,-43.130000000000003
3236,497,-73.730000000000004,-42.649999999999999
3237,2949,-73.730000000000004,-42.579999999999998
3238,3212,-73.750000000000000,-45.399999999999999
3239,2149,-73.750000000000000,-43.899999999999999
3240,2948,-73.750000000000000,-42.479999999999997
3241,3085,-73.760000000000005,-43.979999999999997
3242,2207,-73.760000000000005,-42.579999999999998
3243,3197,-73.760000000000005,-42.539999999999999
3244,2906,-73.760000000000005,-42.479999999999997
3245,2224,-73.760000000000005,-42.469999999999999
3246,2227,-73.760000000000005,-42.439999999999998
3247,3084,-73.769999999999996,-44.000000000000000
3248,2938,-73.769999999999996,-42.479999999999997
3249,1859,-73.780000000000001,-46.420000000000002
3250,2367,-73.780000000000001,-44.039999999999999
3251,3083,-73.790000000000006,-44.020000000000003
3252,3153,-73.790000000000006,-41.880000000000003
3253,2909,-73.799999999999997,-44.969999999999999
3254,2291,-73.799999999999997,-43.920000000000002
3255,2426,-73.799999999999997,-42.539999999999999
3256,2225,-73.799999999999997,-41.869999999999997
3257,2002,-73.799999999999997,-39.789999999999999
3258,2104,-73.810000000000002,-44.250000000000000
3259,1854,-73.810000000000002,-39.939999999999998
3260,1525,-73.819999999999993,-45.670000000000002
3261,2093,-73.819999999999993,-44.240000000000002
3262,2595,-73.819999999999993,-43.909999999999997
3263,3082,-73.829999999999998,-44.090000000000003
3264,2439,-73.829999999999998,-41.859999999999999
3265,2113,-73.840000000000003,-40.770000000000003
3266,1795,-73.849999999999994,-46.680000000000000
3267,2118,-73.849999999999994,-40.750000000000000
3268,2256,-73.849999999999994,-40.469999999999999
3269,2266,-73.879999999999995,-41.750000000000000
3270,1810,-73.890000000000001,-46.520000000000003
3271,2391,-73.900000000000006,-44.340000000000003
3272,3274,-73.909999999999997,-38.359999999999999
3273,2480,-73.920000000000002,-41.880000000000003
3274,2450,-73.930000000000007,-38.409999999999997
3275,2954,-73.939999999999998,-42.090000000000003
3276,2268,-73.939999999999998,-41.840000000000003
3278,2978,-73.989999999999995,-41.880000000000003
3279,3066,-74.019999999999996,-45.009999999999998
3280,2793,-74.030000000000001,-45.420000000000002
3281,2048,-74.030000000000001,-42.070000000000000
3282,3266,-74.030000000000001,-42.020000000000003
3283,2959,-74.030000000000001,-41.950000000000003
3284,2220,-74.030000000000001,-41.930000000000000
3285,1995,-74.040000000000006,-42.109999999999999
3286,2981,-74.040000000000006,-41.990000000000002
3287,35,-74.040000000000006,-41.930000000000000
3288,21,-74.040000000000006,-41.920000000000002
3289,2983,-74.040000000000006,-41.899999999999999
3291,3280,-74.049999999999997,-42.000000000000000
3292,3265,-74.049999999999997,-41.990000000000002
3293,2891,-74.049999999999997,-41.930000000000000
3294,3285,-74.049999999999997,-37.500000000000000
3295,2968,-74.060000000000002,-42.100000000000001
3296,3081,-74.079999999999998,-44.159999999999997
3300,2134,-74.109999999999999,-42.619999999999997
3301,187,-74.120000000000005,-42.619999999999997
3302,2602,-74.129999999999995,-45.380000000000003
3303,2467,-74.150000000000006,-42.200000000000003
3304,2669,-74.170000000000002,-45.420000000000002
3305,3199,-74.170000000000002,-44.590000000000003
3306,2481,-74.170000000000002,-42.530000000000001
3307,1521,-74.180000000000007,-45.619999999999997
3308,3260,-74.180000000000007,-37.979999999999997
3309,3108,-74.200000000000003,-45.490000000000002
3310,2594,-74.230000000000004,-44.310000000000002
3311,2715,-74.250000000000000,-43.340000000000003
3312,3284,-74.329999999999998,-38.299999999999997
3313,3261,-74.340000000000003,-38.270000000000003
3315,1522,-74.400000000000006,-44.899999999999999
3316,3055,-74.530000000000001,-45.039999999999999
3317,2976,-74.540000000000006,-44.719999999999999
3318,3200,-74.560000000000002,-45.820000000000000
3319,2599,-74.579999999999998,-45.810000000000002
3321,1536,-74.750000000000000,-45.810000000000002
3322,3037,-75.000000000000000,-47.280000000000001
3323,2317,-75.060000000000002,-47.700000000000003
3324,3154,-75.230000000000004,-46.820000000000000
3327,3155,-75.329999999999998,-46.719999999999999
3331,3201,-75.439999999999998,-46.090000000000003
