FID,Field1,longitude,latitude
0,734,12.150000000000000,-15.199999999999999
1,330,11.789999999999999,-17.289999999999999
2,182,13.869999999999999,-21.539999999999999
3,596,13.949999999999999,-21.770000000000000
4,298,13.960000000000001,-21.789999999999999
5,516,14.279999999999999,-22.120000000000001
6,162,14.289999999999999,-22.120000000000001
7,346,14.460000000000001,-22.370000000000001
8,477,14.539999999999999,-22.539999999999999
9,405,14.539999999999999,-22.620000000000001
10,411,14.520000000000000,-22.690000000000001
11,48,14.539999999999999,-22.710000000000001
12,362,14.539999999999999,-22.770000000000000
13,575,14.539999999999999,-22.789999999999999
14,583,14.500000000000000,-22.820000000000000
15,398,14.470000000000001,-22.840000000000000
16,311,14.420000000000000,-22.859999999999999
17,294,14.440000000000000,-22.859999999999999
18,288,14.490000000000000,-22.859999999999999
19,268,14.449999999999999,-22.870000000000001
20,281,14.460000000000001,-22.870000000000001
21,541,14.480000000000000,-22.870000000000001
22,299,14.420000000000000,-22.879999999999999
23,312,14.430000000000000,-22.879999999999999
24,410,14.449999999999999,-22.879999999999999
25,455,14.460000000000001,-22.879999999999999
26,206,14.539999999999999,-22.879999999999999
27,475,14.460000000000001,-22.890000000000001
28,605,14.470000000000001,-22.899999999999999
29,366,14.490000000000000,-22.899999999999999
30,367,14.440000000000000,-22.910000000000000
31,569,14.449999999999999,-22.920000000000002
32,187,14.480000000000000,-22.920000000000002
33,412,14.490000000000000,-22.920000000000002
34,305,14.440000000000000,-22.930000000000000
35,576,14.460000000000001,-22.930000000000000
36,556,14.490000000000000,-22.940000000000001
37,403,14.510000000000000,-22.940000000000001
38,283,14.480000000000000,-22.949999999999999
39,376,14.460000000000001,-22.960000000000001
40,291,14.480000000000000,-22.960000000000001
41,586,14.490000000000000,-22.960000000000001
42,375,14.510000000000000,-22.960000000000001
43,469,14.480000000000000,-22.969999999999999
44,457,14.529999999999999,-22.969999999999999
45,296,14.480000000000000,-22.980000000000000
46,378,14.430000000000000,-22.989999999999998
47,451,14.400000000000000,-23.000000000000000
48,587,14.449999999999999,-23.000000000000000
49,348,14.380000000000001,-23.010000000000002
50,452,14.390000000000001,-23.010000000000002
51,380,14.430000000000000,-23.010000000000002
52,625,14.440000000000000,-23.010000000000002
53,718,13.369999999999999,-23.149999999999999
54,538,14.619999999999999,-23.170000000000002
55,261,13.430000000000000,-24.300000000000001
56,618,13.840000000000000,-24.949999999999999
57,18,14.869999999999999,-25.120000000000001
58,355,14.869999999999999,-25.710000000000001
59,727,14.830000000000000,-25.719999999999999
60,52,14.960000000000001,-26.120000000000001
61,168,15.119999999999999,-26.539999999999999
62,90,15.039999999999999,-26.620000000000001
63,17,15.119999999999999,-26.620000000000001
64,568,15.150000000000000,-26.620000000000001
65,468,15.160000000000000,-26.620000000000001
66,166,15.090000000000000,-26.629999999999999
67,285,15.130000000000001,-26.629999999999999
68,173,15.090000000000000,-26.640000000000001
69,137,15.150000000000000,-26.640000000000001
70,128,15.160000000000000,-26.640000000000001
71,26,15.080000000000000,-26.649999999999999
72,534,15.090000000000000,-26.649999999999999
73,389,15.150000000000000,-26.649999999999999
74,113,15.080000000000000,-26.660000000000000
75,374,15.119999999999999,-26.660000000000000
76,454,15.119999999999999,-26.680000000000000
77,473,15.150000000000000,-26.690000000000001
78,262,13.580000000000000,-26.699999999999999
79,359,15.039999999999999,-26.710000000000001
80,93,15.119999999999999,-26.710000000000001
81,81,15.539999999999999,-27.620000000000001
82,49,15.539999999999999,-27.710000000000001
83,588,32.490000000000002,-28.280000000000001
84,610,32.430000000000000,-28.370000000000001
85,517,16.870000000000001,-29.250000000000000
86,85,16.879999999999999,-29.280000000000001
87,54,16.870000000000001,-29.289999999999999
88,743,31.190000000000001,-29.520000000000000
89,619,17.050000000000001,-29.680000000000000
