FID,Field1,longitude,latitude
0,1,-76.780000000000001,-12.630000000000001
1,2,-76.540000000000006,-12.800000000000001
2,3,-71.430000000000007,-29.399999999999999
3,4,-71.370000000000005,-29.829999999999998
4,5,-74.019999999999996,-41.869999999999997
5,6,-71.450000000000003,-29.160000000000000
6,7,-74.040000000000006,-41.960000000000001
7,8,-76.239999999999995,-13.680000000000000
8,9,-73.239999999999995,-39.450000000000003
9,10,-71.530000000000001,-29.280000000000001
10,11,-71.439999999999998,-29.270000000000000
11,12,-71.569999999999993,-29.250000000000000
12,13,-71.670000000000002,-33.399999999999999
13,14,-76.890000000000001,-12.510000000000000
14,15,-76.379999999999995,-13.710000000000001
15,16,-76.620000000000005,-12.460000000000001
16,17,-71.489999999999995,-29.070000000000000
17,18,-76.219999999999999,-13.650000000000000
18,19,-76.939999999999998,-12.270000000000000
19,20,-76.909999999999997,-12.279999999999999
20,21,-73.560000000000002,-42.759999999999998
21,22,-70.200000000000003,-20.039999999999999
22,23,-76.299999999999997,-13.630000000000001
23,24,-76.379999999999995,-13.740000000000000
24,25,-76.269999999999996,-13.770000000000000
25,26,-76.269999999999996,-13.800000000000001
26,27,-76.299999999999997,-13.760000000000000
27,28,-76.959999999999994,-12.380000000000001
28,29,-70.150000000000006,-20.260000000000002
29,30,-76.439999999999998,-13.750000000000000
30,31,-76.469999999999999,-13.600000000000000
31,32,-76.480000000000004,-12.940000000000000
32,33,-76.769999999999996,-12.520000000000000
33,34,-76.939999999999998,-12.380000000000001
34,35,-70.489999999999995,-23.690000000000001
35,36,-76.319999999999993,-13.690000000000000
36,37,-70.530000000000001,-23.649999999999999
37,38,-70.060000000000002,-20.920000000000002
38,39,-76.840000000000003,-12.539999999999999
39,40,-76.849999999999994,-12.230000000000000
40,41,-70.469999999999999,-23.760000000000002
41,42,-71.560000000000002,-29.129999999999999
42,43,-71.560000000000002,-29.329999999999998
43,44,-71.549999999999997,-29.379999999999999
44,45,-71.579999999999998,-32.079999999999998
45,46,-77.219999999999999,-12.170000000000000
46,47,-77.280000000000001,-12.190000000000000
47,48,-77.250000000000000,-12.020000000000000
48,49,-77.280000000000001,-12.199999999999999
49,50,-71.489999999999995,-29.020000000000000
50,51,-71.469999999999999,-29.329999999999998
51,52,-71.560000000000002,-29.350000000000001
52,53,-71.549999999999997,-29.250000000000000
53,54,-71.719999999999999,-33.320000000000000
54,55,-71.750000000000000,-33.399999999999999
55,56,-71.659999999999997,-33.310000000000002
56,57,-70.430000000000007,-23.090000000000000
57,58,-71.430000000000007,-29.170000000000002
58,59,-71.549999999999997,-29.129999999999999
59,60,-71.439999999999998,-29.070000000000000
60,61,-71.540000000000006,-29.180000000000000
61,62,-74.170000000000002,-41.969999999999999
62,63,-71.590000000000003,-29.239999999999998
63,64,-71.409999999999997,-29.359999999999999
64,65,-77.189999999999998,-12.180000000000000
65,66,-71.560000000000002,-32.420000000000002
66,67,-76.569999999999993,-13.680000000000000
67,68,-73.010000000000005,-36.729999999999997
68,69,-73.379999999999995,-36.680000000000000
69,70,-77.090000000000003,-11.869999999999999
70,71,-71.549999999999997,-30.289999999999999
71,72,-76.280000000000001,-13.740000000000000
72,73,-76.709999999999994,-12.420000000000000
73,74,-76.329999999999998,-13.760000000000000
74,75,-70.129999999999995,-20.920000000000002
75,76,-76.310000000000002,-13.740000000000000
76,77,-76.400000000000006,-13.740000000000000
77,78,-76.230000000000004,-13.750000000000000
78,79,-76.780000000000001,-12.600000000000000
79,80,-76.840000000000003,-12.490000000000000
80,81,-76.799999999999997,-12.480000000000000
81,82,-76.299999999999997,-13.830000000000000
82,83,-77.269999999999996,-12.020000000000000
83,84,-77.269999999999996,-12.090000000000000
84,85,-77.269999999999996,-12.039999999999999
85,86,-76.230000000000004,-13.720000000000001
86,87,-76.200000000000003,-13.670000000000000
87,88,-76.209999999999994,-13.680000000000000
88,89,-76.799999999999997,-12.470000000000001
89,90,-76.260000000000005,-13.640000000000001
90,91,-76.950000000000003,-12.560000000000000
91,92,-76.299999999999997,-13.710000000000001
92,93,-76.599999999999994,-12.510000000000000
93,94,-71.209999999999994,-29.969999999999999
94,95,-76.829999999999998,-12.600000000000000
95,96,-77.000000000000000,-12.570000000000000
96,97,-71.409999999999997,-29.149999999999999
97,98,-71.439999999999998,-29.289999999999999
98,99,-71.560000000000002,-29.000000000000000
99,100,-76.280000000000001,-13.789999999999999
100,101,-76.349999999999994,-13.730000000000000
101,102,-76.299999999999997,-13.640000000000001
102,103,-73.099999999999994,-36.759999999999998
103,104,-76.319999999999993,-13.640000000000001
104,105,-71.439999999999998,-29.309999999999999
105,106,-71.420000000000002,-29.359999999999999
106,107,-76.349999999999994,-13.770000000000000
107,108,-76.349999999999994,-13.670000000000000
108,109,-71.519999999999996,-29.390000000000001
109,110,-71.500000000000000,-29.320000000000000
110,111,-71.400000000000006,-29.219999999999999
111,112,-77.400000000000006,-12.199999999999999
112,113,-76.269999999999996,-13.750000000000000
113,114,-71.439999999999998,-32.460000000000001
114,115,-71.489999999999995,-32.409999999999997
115,116,-71.420000000000002,-32.509999999999998
116,117,-71.500000000000000,-32.509999999999998
117,118,-71.450000000000003,-32.600000000000001
118,119,-71.560000000000002,-32.430000000000000
119,120,-71.450000000000003,-32.399999999999999
120,121,-71.480000000000004,-29.120000000000001
121,122,-73.219999999999999,-39.530000000000001
122,123,-73.079999999999998,-36.619999999999997
123,124,-71.439999999999998,-32.469999999999999
124,125,-71.560000000000002,-32.439999999999998
125,126,-76.250000000000000,-13.650000000000000
126,127,-73.469999999999999,-41.979999999999997
127,128,-71.549999999999997,-29.000000000000000
128,129,-70.319999999999993,-18.420000000000002
129,130,-76.849999999999994,-12.300000000000001
130,131,-71.549999999999997,-32.960000000000001
131,132,-71.500000000000000,-29.260000000000002
132,133,-80.790000000000006,-1.940000000000000
133,134,-72.620000000000005,-35.579999999999998
134,135,-71.329999999999998,-29.489999999999998
135,136,-71.370000000000005,-30.079999999999998
136,137,-70.930000000000007,-27.140000000000001
137,138,-71.700000000000003,-33.409999999999997
138,139,-71.439999999999998,-32.579999999999998
139,140,-71.590000000000003,-29.100000000000001
140,141,-71.329999999999998,-17.820000000000000
141,142,-71.659999999999997,-33.359999999999999
142,143,-70.140000000000001,-20.910000000000000
143,144,-80.769999999999996,-1.960000000000000
144,145,-73.319999999999993,-39.640000000000001
145,146,-70.189999999999998,-20.730000000000000
146,147,-70.870000000000005,-27.129999999999999
147,148,-80.790000000000006,-1.930000000000000
148,149,-71.400000000000006,-28.449999999999999
149,150,-71.299999999999997,-29.930000000000000
150,151,-70.159999999999997,-20.489999999999998
151,152,-71.459999999999994,-32.590000000000003
152,153,-71.540000000000006,-29.270000000000000
153,154,-71.459999999999994,-32.579999999999998
154,155,-71.390000000000001,-30.020000000000000
155,156,-72.780000000000001,-42.359999999999999
156,157,-71.489999999999995,-29.129999999999999
157,158,-70.170000000000002,-20.820000000000000
158,159,-71.620000000000005,-29.039999999999999
159,160,-72.109999999999999,-17.010000000000002
160,161,-71.689999999999998,-30.469999999999999
161,162,-70.140000000000001,-20.899999999999999
162,163,-70.189999999999998,-20.789999999999999
163,164,-71.469999999999999,-29.250000000000000
164,165,-71.439999999999998,-32.649999999999999
165,166,-80.750000000000000,-1.980000000000000
166,168,-70.310000000000002,-22.930000000000000
167,169,-73.400000000000006,-39.729999999999997
168,170,-75.359999999999999,-15.140000000000001
169,171,-75.349999999999994,-15.160000000000000
170,172,-75.159999999999997,-15.390000000000001
171,173,-72.150000000000006,-17.109999999999999
172,174,-72.349999999999994,-17.140000000000001
173,175,-70.200000000000003,-20.750000000000000
174,176,-73.260000000000005,-39.460000000000001
175,177,-75.349999999999994,-15.150000000000000
176,178,-78.959999999999994,-8.529999999999999
177,179,-71.349999999999994,-17.640000000000001
178,180,-76.340000000000003,-13.920000000000000
179,181,-77.150000000000006,-12.060000000000000
180,182,-80.829999999999998,-1.900000000000000
181,183,-71.689999999999998,-33.369999999999997
182,184,-76.230000000000004,-13.760000000000000
183,185,-76.250000000000000,-13.840000000000000
184,186,-80.780000000000001,-1.480000000000000
185,187,-71.340000000000003,-29.539999999999999
186,188,-70.209999999999994,-20.809999999999999
187,189,-70.430000000000007,-23.500000000000000
188,190,-71.609999999999999,-33.030000000000001
189,191,-76.310000000000002,-13.789999999999999
190,192,-71.349999999999994,-29.930000000000000
