FID,Field1,longitude,latitude
0,860,-91.500000000000000,0.420000000000000
1,718,-90.400000000000006,0.340000000000000
2,384,-89.950000000000003,0.320000000000000
3,570,-91.340000000000003,0.190000000000000
4,606,-91.420000000000002,0.190000000000000
5,698,-90.709999999999994,0.160000000000000
6,495,-90.769999999999996,0.160000000000000
7,252,-91.340000000000003,0.160000000000000
8,609,-91.359999999999999,0.160000000000000
9,186,-91.370000000000005,0.150000000000000
10,699,-90.760000000000005,0.120000000000000
11,778,-91.030000000000001,0.040000000000000
12,188,-91.280000000000001,0.010000000000000
13,334,-91.469999999999999,-0.010000000000000
14,264,-91.519999999999996,-0.020000000000000
15,321,-91.590000000000003,-0.020000000000000
16,824,-91.519999999999996,-0.030000000000000
17,18,-91.530000000000001,-0.030000000000000
18,184,-91.569999999999993,-0.030000000000000
19,599,-91.579999999999998,-0.030000000000000
20,529,-91.510000000000005,-0.040000000000000
21,263,-91.519999999999996,-0.040000000000000
22,176,-91.590000000000003,-0.040000000000000
23,187,-91.599999999999994,-0.040000000000000
24,725,-91.230000000000004,-0.050000000000000
25,120,-91.560000000000002,-0.050000000000000
26,397,-91.569999999999993,-0.050000000000000
27,251,-91.430000000000007,-0.060000000000000
28,739,-91.409999999999997,-0.070000000000000
29,719,-91.549999999999997,-0.070000000000000
30,52,-90.290000000000006,-0.080000000000000
31,72,-91.489999999999995,-0.090000000000000
32,90,-91.500000000000000,-0.090000000000000
33,329,-91.450000000000003,-0.100000000000000
34,23,-91.500000000000000,-0.100000000000000
35,787,-91.560000000000002,-0.100000000000000
36,291,-91.409999999999997,-0.110000000000000
37,798,-91.519999999999996,-0.110000000000000
38,686,-91.590000000000003,-0.110000000000000
39,845,-91.459999999999994,-0.120000000000000
40,24,-91.590000000000003,-0.120000000000000
41,391,-91.519999999999996,-0.130000000000000
42,496,-91.439999999999998,-0.140000000000000
43,17,-91.459999999999994,-0.140000000000000
44,293,-91.480000000000004,-0.140000000000000
45,67,-91.260000000000005,-0.150000000000000
46,482,-91.530000000000001,-0.150000000000000
47,361,-90.409999999999997,-0.160000000000000
48,507,-91.299999999999997,-0.160000000000000
49,183,-91.340000000000003,-0.160000000000000
50,22,-91.400000000000006,-0.160000000000000
51,262,-91.480000000000004,-0.160000000000000
52,576,-91.519999999999996,-0.160000000000000
53,596,-91.560000000000002,-0.160000000000000
54,826,-91.400000000000006,-0.170000000000000
55,668,-91.430000000000007,-0.170000000000000
56,843,-90.959999999999994,-0.180000000000000
57,575,-91.450000000000003,-0.180000000000000
58,413,-90.829999999999998,-0.190000000000000
59,559,-91.519999999999996,-0.190000000000000
60,224,-91.560000000000002,-0.190000000000000
61,622,-90.400000000000006,-0.200000000000000
62,246,-90.409999999999997,-0.200000000000000
63,623,-90.540000000000006,-0.200000000000000
64,704,-90.629999999999995,-0.200000000000000
65,544,-90.829999999999998,-0.200000000000000
66,806,-90.840000000000003,-0.200000000000000
67,602,-91.379999999999995,-0.200000000000000
68,545,-90.400000000000006,-0.210000000000000
69,387,-90.439999999999998,-0.210000000000000
70,784,-90.450000000000003,-0.210000000000000
71,70,-90.459999999999994,-0.210000000000000
72,685,-90.540000000000006,-0.210000000000000
