FID,Field1,lon,lat
0,1929,-65.019999999999996,-54.920000000000002
1,2073,-65.030000000000001,-54.880000000000003
2,2939,-65.099999999999994,-54.659999999999997
3,2571,-65.120000000000005,-54.659999999999997
4,3258,-65.170000000000002,-54.780000000000001
5,2570,-65.200000000000003,-54.759999999999998
6,2119,-65.420000000000002,-56.549999999999997
7,2573,-65.510000000000005,-54.659999999999997
8,3289,-65.579999999999998,-56.219999999999999
9,2414,-65.640000000000001,-55.670000000000002
10,2070,-65.780000000000001,-55.079999999999998
11,2837,-66.099999999999994,-55.460000000000001
12,2468,-66.120000000000005,-55.310000000000002
13,596,-66.159999999999997,-55.070000000000000
14,2214,-66.250000000000000,-55.159999999999997
15,2510,-66.290000000000006,-55.240000000000002
16,2135,-66.299999999999997,-55.189999999999998
17,1201,-66.310000000000002,-55.229999999999997
18,2374,-66.319999999999993,-54.990000000000002
19,1206,-66.349999999999994,-55.180000000000000
20,2465,-66.359999999999999,-55.240000000000002
21,3325,-66.359999999999999,-55.180000000000000
22,3198,-66.379999999999995,-55.369999999999997
23,3324,-66.420000000000002,-55.420000000000002
24,2192,-66.420000000000002,-55.130000000000003
25,2964,-66.459999999999994,-55.130000000000003
26,2114,-66.489999999999995,-55.109999999999999
27,3276,-66.500000000000000,-55.609999999999999
28,3326,-66.500000000000000,-55.119999999999997
29,2185,-66.500000000000000,-55.100000000000001
30,3333,-66.549999999999997,-55.100000000000001
31,1633,-66.579999999999998,-55.079999999999998
32,2965,-66.590000000000003,-55.079999999999998
33,1947,-66.620000000000005,-55.079999999999998
34,2109,-66.629999999999995,-55.109999999999999
35,2233,-66.659999999999997,-55.079999999999998
36,3213,-66.659999999999997,-55.060000000000002
37,3018,-66.680000000000007,-55.049999999999997
38,2470,-66.689999999999998,-56.079999999999998
39,2905,-66.730000000000004,-55.890000000000001
40,2424,-66.730000000000004,-55.070000000000000
41,2466,-66.750000000000000,-55.020000000000003
42,2094,-66.760000000000005,-55.960000000000001
43,2791,-66.760000000000005,-55.909999999999997
44,2174,-66.760000000000005,-55.060000000000002
45,3334,-66.769999999999996,-55.009999999999998
46,2123,-66.780000000000001,-56.530000000000001
47,2951,-66.780000000000001,-55.009999999999998
48,2464,-66.799999999999997,-55.890000000000001
49,2902,-66.799999999999997,-55.810000000000002
50,2545,-66.810000000000002,-55.920000000000002
51,2961,-66.859999999999999,-54.979999999999997
52,2194,-66.870000000000005,-55.100000000000001
53,1991,-66.870000000000005,-54.969999999999999
54,2838,-66.879999999999995,-54.960000000000001
55,2485,-66.900000000000006,-54.939999999999998
56,2164,-66.909999999999997,-54.969999999999999
57,2469,-66.909999999999997,-54.950000000000003
58,2190,-66.920000000000002,-55.149999999999999
59,2860,-66.959999999999994,-55.990000000000002
60,3264,-66.969999999999999,-54.939999999999998
61,2132,-66.989999999999995,-54.950000000000003
62,2443,-67.000000000000000,-54.950000000000003
63,2903,-67.019999999999996,-56.329999999999998
64,2215,-67.019999999999996,-54.960000000000001
65,1988,-67.030000000000001,-54.939999999999998
66,2130,-67.040000000000006,-54.950000000000003
67,2124,-67.060000000000002,-56.130000000000003
68,2564,-67.060000000000002,-54.939999999999998
69,3,-67.060000000000002,-54.810000000000002
70,2940,-67.069999999999993,-55.030000000000001
71,2263,-67.079999999999998,-55.229999999999997
72,2036,-67.140000000000001,-54.950000000000003
73,1969,-67.150000000000006,-54.960000000000001
74,2890,-67.150000000000006,-54.850000000000001
75,2888,-67.159999999999997,-54.950000000000003
76,2861,-67.170000000000002,-56.240000000000002
77,2095,-67.170000000000002,-56.020000000000003
78,3263,-67.170000000000002,-56.009999999999998
79,3278,-67.180000000000007,-55.960000000000001
80,2006,-67.180000000000007,-54.969999999999999
81,1124,-67.200000000000003,-54.969999999999999
82,2463,-67.209999999999994,-56.020000000000003
83,2941,-67.209999999999994,-55.960000000000001
84,2100,-67.219999999999999,-55.990000000000002
85,2462,-67.230000000000004,-56.240000000000002
86,2899,-67.230000000000004,-56.090000000000003
87,2101,-67.230000000000004,-55.960000000000001
88,2499,-67.230000000000004,-54.920000000000002
